Máscara,Tipo,Descrição,Saldo anterior,Tipo Saldo,Débito,Crédito,Saldo atual,Tipo Saldo,Entidade,ID_Entidade
,,5-Conta Bancária+FR - 001  13838  16.899-8  17003120,"84.890,00",C,0,0,"84.890,00",C,,
1.1.1.1.1.19.00.02.02.000029,Analitica,BANCO DO BRASIL S/A - AQUISIÇÃO DE 1 VEÍCULO,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  16.781-9  16217000,"976,96",C,0,0,"976,96",C,,
,,5-Conta Bancária+FR - 001  13838  16.781-9  16327000,"40.976,96",D,0,0,"40.976,96",D,,
,,5-Conta Bancária+FR - 001  13838  16.781-9  17997000,"40.000,00",C,0,0,"40.000,00",C,,
1.1.1.1.1.19.00.02.02.000030,Analitica,BANCO DO BRASIL S/A - AQUISIÇÃO DE 2 VEÍCULOS,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  16.782-7  16217000,"3.657,41",C,0,0,"3.657,41",C,,
,,5-Conta Bancária+FR - 001  13838  16.782-7  16327000,"153.657,41",D,0,0,"153.657,41",D,,
,,5-Conta Bancária+FR - 001  13838  16.782-7  17997000,"150.000,00",C,0,0,"150.000,00",C,,
1.1.1.1.1.19.00.02.02.000031,Analitica,BANCO DO BRASIL S/A - PISO SALARIAL ENFERMAGEM,"45.966,42",D,"255.590,25","283.858,58","17.698,09",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,5-Conta Bancária+FR - 001  13838  17.580-3  16007000,"45.966,42",D,"81.999,53","96.483,58","31.482,37",D,,
,,5-Conta Bancária+FR - 001  13838  17.580-3  16057000,0,D,"173.590,72","187.375,00","13.784,28",C,,
1.1.2002,Sintética,CRÉDITOS A CURTO PRAZO,"169.993,85",D,0,0,"169.993,85",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.2.1,Sintética,CRÉDITOS TRIBUTÁRIOS A RECEBER,"169.993,85",D,0,0,"169.993,85",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.2.1.5,Analitica,CRÉDITOS TRIBUTÁRIOS A RECEBER - INTER OFSS - MUNICÍPIO,"169.993,85",D,0,0,"169.993,85",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,1-Célula da Receita - 00  11210101  15001002,"47.097,26",D,0,0,"47.097,26",D,,
,,1-Célula da Receita - 00  11215001  15001002,"122.896,59",D,0,0,"122.896,59",D,,
1.1.2.5,Sintética,DÍVIDA ATIVA TRIBUTÁRIA,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
1.1.2.5.5,Analitica,DÍVIDA ATIVA TRIBUTÁRIA - INTER OFSS - MUNICÍPIO,0,D,0,0,0,D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
,,1-Célula da Receita - 00  11215001  15001002,"508,84",D,0,0,"508,84",D,,
,,1-Célula da Receita - 00  11215003  15001002,"487,16",C,0,0,"487,16",C,,
,,1-Célula da Receita - 00  11215003  18997000,"21,68",C,0,0,"21,68",C,,
1.1.2003,Sintética,DEMAIS CRÉDITOS E VALORES A CURTO PRAZO,"8.766,75",D,"69.885,81","67.975,83","10.676,73",D,FUNDO MUNICIPAL SAÚDE ALFREDO WAGNER,2369
